k,trial,sketcher,w2,time_s,rare_in_sketch,enrichment
20,0,uniform,105.95930480957031,3.4809112548828125e-05,0,0.0
20,0,leverage,181.13075256347656,0.006002902984619141,2,19.19090909090909
20,0,ot_sketch,208.4167022705078,0.015228986740112305,2,19.19090909090909
20,1,uniform,105.50032806396484,6.985664367675781e-05,0,0.0
20,1,leverage,151.09695434570312,0.005936861038208008,1,9.595454545454546
20,1,ot_sketch,184.57949829101562,0.013815879821777344,1,9.595454545454546
20,2,uniform,107.13369750976562,7.414817810058594e-05,0,0.0
20,2,leverage,150.89776611328125,0.006124973297119141,1,9.595454545454546
20,2,ot_sketch,169.85020446777344,0.013911962509155273,1,9.595454545454546
50,0,uniform,89.8666763305664,6.604194641113281e-05,0,0.0
50,0,leverage,114.97110748291016,0.006187915802001953,2,7.676363636363637
50,0,ot_sketch,115.09806060791016,0.015192985534667969,1,3.8381818181818184
50,1,uniform,92.49951934814453,6.914138793945312e-05,0,0.0
50,1,leverage,121.21825408935547,0.006440401077270508,2,7.676363636363637
50,1,ot_sketch,139.65322875976562,0.015681982040405273,3,11.514545454545454
50,2,uniform,87.33979797363281,7.319450378417969e-05,0,0.0
50,2,leverage,148.24151611328125,0.005650997161865234,3,11.514545454545454
50,2,ot_sketch,117.2537612915039,0.015282869338989258,2,7.676363636363637
100,0,uniform,84.63041687011719,6.771087646484375e-05,0,0.0
100,0,leverage,89.5548095703125,0.006204128265380859,2,3.8381818181818184
100,0,ot_sketch,99.39275360107422,0.01834702491760254,4,7.676363636363637
100,1,uniform,74.89410400390625,6.413459777832031e-05,1,1.9190909090909092
100,1,leverage,96.739013671875,0.006483316421508789,3,5.757272727272727
100,1,ot_sketch,102.12145233154297,0.018295764923095703,6,11.514545454545454
100,2,uniform,77.78277587890625,6.389617919921875e-05,0,0.0
100,2,leverage,113.888916015625,0.005978107452392578,6,11.514545454545454
100,2,ot_sketch,113.76364135742188,0.018171072006225586,7,13.433636363636365
200,0,uniform,67.5234375,7.390975952148438e-05,0,0.0
200,0,leverage,81.52629089355469,0.005987882614135742,7,6.716818181818183
200,0,ot_sketch,74.52637481689453,0.0274202823638916,4,3.8381818181818184
200,1,uniform,66.06529235839844,6.890296936035156e-05,1,0.9595454545454546
200,1,leverage,82.33374786376953,0.006201267242431641,6,5.757272727272727
200,1,ot_sketch,82.90930938720703,0.026726722717285156,6,5.757272727272727
200,2,uniform,63.24634552001953,6.818771362304688e-05,2,1.9190909090909092
200,2,leverage,80.59823608398438,0.006449222564697266,7,6.716818181818183
200,2,ot_sketch,75.2707290649414,0.02527308464050293,5,4.797727272727273
500,0,uniform,47.1678466796875,6.794929504394531e-05,2,0.7676363636363637
500,0,leverage,51.299407958984375,0.00664973258972168,10,3.8381818181818184
500,0,ot_sketch,49.65257263183594,0.03328394889831543,10,3.8381818181818184
500,1,uniform,47.43883514404297,6.604194641113281e-05,3,1.1514545454545455
500,1,leverage,50.686397552490234,0.006368160247802734,9,3.4543636363636363
500,1,ot_sketch,50.396583557128906,0.03284502029418945,8,3.0705454545454547
500,2,uniform,52.212867736816406,6.508827209472656e-05,0,0.0
500,2,leverage,49.555702209472656,0.006741046905517578,9,3.4543636363636363
500,2,ot_sketch,49.00926971435547,0.0357661247253418,8,3.0705454545454547
