corruption_type,radius,mask_ratio,PCC_mean,PCC_std,PCC_count,MSE_mean,MSE_std,MSE_count,MAE_mean,MAE_std,MAE_count
none,0,0.0,0.5817233920097351,,1,1.4387296438217163,,1,0.9022944569587708,,1
zero,0,0.1,0.4774104257424672,0.003996244684159917,3,1.6525605122248332,0.01057643997251652,3,0.9546039700508118,0.00237311079991332,3
zero,0,0.25,0.38350189725557965,0.0038441351877196582,3,1.9714109500249226,0.0038710948110664595,3,1.0319164991378784,0.0007861864575831781,3
zero,0,0.5,0.2696911195913951,0.004384844096504463,3,2.609175523122152,0.010285823414917494,3,1.177268147468567,0.0024891093058538147,3
zero,32,0.1,0.464067538579305,0.007473360817407731,3,1.7327782313028972,0.021655545623071624,3,0.9688772757848104,0.005515023405926655,3
zero,32,0.25,0.3426771362622579,0.012847074029891145,3,2.178251345952352,0.03968198360677992,3,1.0705490907033284,0.007856271982539124,3
zero,32,0.5,0.2328383525212606,0.03660827025197536,3,2.985850731531779,0.09009897968384499,3,1.2506950696309407,0.018760858443030312,3
zero,64,0.1,0.4436742166678111,0.052966002820144756,3,1.779652992884318,0.12055410420931117,3,0.9772895177205404,0.029831353804034646,3
zero,64,0.25,0.33602824807167053,0.02369440463621746,3,2.2313685417175293,0.0461626752528618,3,1.0799705187479656,0.01154128476720155,3
zero,64,0.5,0.2343436429897944,0.034429113344072636,3,2.973305861155192,0.12543964860015133,3,1.2445828517278035,0.026918350672544025,3
zero,96,0.1,0.475197712580363,0.025302237766465466,3,1.6991506417592366,0.0659409596893659,3,0.9607381423314413,0.0139853421783334,3
zero,96,0.25,0.32616957028706867,0.013830300751104047,3,2.3031205336252847,0.056236330695353345,3,1.0948992172876995,0.012202962647123658,3
zero,96,0.5,0.23663914700349173,0.014865703453418566,3,2.9926811059316,0.06333677933737628,3,1.2471882899602253,0.015239022166067862,3
zero,128,0.1,0.4171592692534129,0.018248249029968494,3,1.8517574469248455,0.06814867546257414,3,0.9946961402893066,0.015748538237679247,3
zero,128,0.25,0.27189120650291443,0.02305222134719633,3,2.448073625564575,0.04882137477828851,3,1.1290895144144695,0.010391813550264868,3
zero,128,0.5,0.2125716209411621,0.03888356991855122,3,3.1484662691752114,0.14390636437226084,3,1.2834618091583252,0.0331113025236806,3
