corruption_type,radius,mask_ratio,PCC,MSE,MAE
zero,0,0.1,0.69764,0.52854,0.52191
zero,0,0.25,0.60984,0.86097,0.63369
zero,0,0.5,0.47066,1.60036,0.85833
zero,32,0.1,0.69421,0.54369,0.52686
zero,32,0.25,0.61506,0.86159,0.63521
zero,32,0.5,0.47195,1.60772,0.85881
zero,64,0.1,0.69552,0.53039,0.52327
zero,64,0.25,0.61252,0.85298,0.63443
zero,64,0.5,0.47503,1.61163,0.8593
zero,96,0.1,0.69697,0.5322,0.52369
zero,96,0.25,0.60682,0.87431,0.63939
zero,96,0.5,0.46182,1.68121,0.87925
zero,128,0.1,0.69578,0.5347,0.52312
zero,128,0.25,0.61544,0.85243,0.63258
zero,128,0.5,0.48237,1.60337,0.85841
