slide,corruption_type,radius,mask_ratio,seed_idx,PCC,MSE,MAE
NCBI643,none,0,0.0,-1,0.06941181421279907,0.5546472072601318,0.5433418154716492
NCBI643,zero,0,0.1,0,0.05615151301026344,0.5556893348693848,0.5417156219482422
NCBI643,zero,0,0.1,1,0.055768899619579315,0.555755615234375,0.5413966178894043
NCBI643,zero,0,0.1,2,0.06275326758623123,0.5541752576828003,0.5409729480743408
NCBI643,zero,0,0.25,0,0.04252178221940994,0.5565251111984253,0.5385371446609497
NCBI643,zero,0,0.25,1,0.04569628834724426,0.556488037109375,0.5387278199195862
NCBI643,zero,0,0.25,2,0.049160875380039215,0.5561622381210327,0.5381388664245605
NCBI643,zero,0,0.5,0,0.036653123795986176,0.5594764947891235,0.532574474811554
NCBI643,zero,0,0.5,1,0.027782060205936432,0.5601949095726013,0.5336577892303467
NCBI643,zero,0,0.5,2,0.03194126859307289,0.5604215860366821,0.5336216688156128
NCBI643,zero,32,0.1,0,0.047985803335905075,0.5578142404556274,0.5420825481414795
NCBI643,zero,32,0.1,1,0.06808461993932724,0.5538862347602844,0.5396565198898315
NCBI643,zero,32,0.1,2,0.07467741519212723,0.5533289313316345,0.5391588807106018
NCBI643,zero,32,0.25,0,0.06710416823625565,0.5548967123031616,0.5366385579109192
NCBI643,zero,32,0.25,1,0.04614728316664696,0.5577815771102905,0.5375008583068848
NCBI643,zero,32,0.25,2,0.06575901806354523,0.5554244518280029,0.5358031988143921
NCBI643,zero,32,0.5,0,0.0016956818290054798,0.5689012408256531,0.5353702306747437
NCBI643,zero,32,0.5,1,0.015368117019534111,0.5662581920623779,0.5337428450584412
NCBI643,zero,32,0.5,2,0.04412345960736275,0.5610422492027283,0.5319346189498901
NCBI643,zero,64,0.1,0,0.04263422638177872,0.5594980120658875,0.5423139333724976
NCBI643,zero,64,0.1,1,0.03082195483148098,0.5607120990753174,0.5428818464279175
NCBI643,zero,64,0.1,2,0.052085909992456436,0.5556906461715698,0.5407310724258423
NCBI643,zero,64,0.25,0,0.05812067911028862,0.5560880303382874,0.5365059971809387
NCBI643,zero,64,0.25,1,0.043118640780448914,0.5588052868843079,0.5368448495864868
NCBI643,zero,64,0.25,2,0.0381789430975914,0.55943363904953,0.5379181504249573
NCBI643,zero,64,0.5,0,0.014132773503661156,0.5674350261688232,0.534045398235321
NCBI643,zero,64,0.5,1,0.01580590195953846,0.5643253326416016,0.5335878133773804
NCBI643,zero,64,0.5,2,0.03864925727248192,0.5642992258071899,0.5316750407218933
NCBI643,zero,96,0.1,0,0.04269636794924736,0.5589916706085205,0.54178386926651
NCBI643,zero,96,0.1,1,0.08704467117786407,0.5514217615127563,0.5388981103897095
NCBI643,zero,96,0.1,2,0.028687734156847,0.5597096681594849,0.5421627163887024
NCBI643,zero,96,0.25,0,0.04468506947159767,0.5585153698921204,0.5375953316688538
NCBI643,zero,96,0.25,1,0.043896984308958054,0.5591987371444702,0.5380109548568726
NCBI643,zero,96,0.25,2,0.030682409182190895,0.5643773078918457,0.5396629571914673
NCBI643,zero,96,0.5,0,0.041450317949056625,0.5635162591934204,0.5313307642936707
NCBI643,zero,96,0.5,1,0.06137821078300476,0.5579391717910767,0.530438244342804
NCBI643,zero,96,0.5,2,0.023842385038733482,0.5676159262657166,0.5326141715049744
NCBI643,zero,128,0.1,0,0.0793842002749443,0.5532459616661072,0.5385984182357788
NCBI643,zero,128,0.1,1,0.0676390677690506,0.5564857125282288,0.5408152937889099
NCBI643,zero,128,0.1,2,0.044711872935295105,0.5588441491127014,0.5417988300323486
NCBI643,zero,128,0.25,0,0.0215115025639534,0.564164400100708,0.5390028953552246
NCBI643,zero,128,0.25,1,0.02961636148393154,0.5621609687805176,0.5384334921836853
NCBI643,zero,128,0.25,2,0.04269860312342644,0.5566723346710205,0.5372334122657776
NCBI643,zero,128,0.5,0,0.07316908985376358,0.5596707463264465,0.5303307771682739
NCBI643,zero,128,0.5,1,0.047829922288656235,0.5612515211105347,0.5303726196289062
NCBI643,zero,128,0.5,2,0.06906697154045105,0.5588200688362122,0.5291212797164917
