corruption_type,radius,mask_ratio,PCC_mean,PCC_std,PCC_count,MSE_mean,MSE_std,MSE_count,MAE_mean,MAE_std,MAE_count
none,0,0.0,0.18070924282073975,0.06055309375202614,2,0.4062352776527405,0.08847449580667471,2,0.4782932549715042,0.02954862865538142,2
zero,0,0.1,0.16273699204126993,0.037030680404531856,6,0.4103291283051173,0.07138110308335634,6,0.4813883900642395,0.02572357563193718,6
zero,0,0.25,0.13707474867502847,0.02964767955738931,6,0.4177912970383962,0.07642452567438231,6,0.4865013559659322,0.03037468026483411,6
zero,0,0.5,0.09776275977492332,0.02295489958937359,6,0.4313824425141017,0.08552806132839666,6,0.49525391062100727,0.03802177597578194,6
zero,32,0.1,0.1611622820297877,0.0346801357894984,6,0.4110440214474996,0.07284694895198783,6,0.4815824230511983,0.026820687054252234,6
zero,32,0.25,0.13957759365439415,0.03560515430114158,6,0.4184897392988205,0.07646042080943087,6,0.48693179587523144,0.0303150516206957,6
zero,32,0.5,0.11001215502619743,0.015686826083626586,6,0.43018294870853424,0.0860081026745828,6,0.4950970609982808,0.03826611474604787,6
zero,64,0.1,0.1579004613061746,0.034130792282610026,6,0.4108814497788747,0.07214828639979119,6,0.4817827840646108,0.02616919892691019,6
zero,64,0.25,0.1279293124874433,0.04548677434319356,6,0.41932351390520733,0.07593748104082362,6,0.4870498975118001,0.030608907727749855,6
zero,64,0.5,0.11489504824082057,0.023844320420736566,6,0.42842968304951984,0.08506935399973711,6,0.4941094021002452,0.038249959339404054,6
zero,96,0.1,0.15528935939073563,0.03866620247562907,6,0.4122634281714757,0.07287513026129731,6,0.4821794033050537,0.026555065928298566,6
zero,96,0.25,0.12998643393317857,0.021725351224214415,6,0.419062336285909,0.07894242031316098,6,0.48716353873411816,0.03239352721811384,6
zero,96,0.5,0.10455283398429553,0.010911269924671882,6,0.43000559012095135,0.08624191981143525,6,0.49463053544362384,0.038622700921255346,6
zero,128,0.1,0.1545779804388682,0.032690890930934746,6,0.4130284438530604,0.07397123151553245,6,0.4832685589790344,0.0274520234087674,6
zero,128,0.25,0.13078002507487932,0.029327046180544172,6,0.41995832820733386,0.07910380020514575,6,0.4877704977989197,0.03245252865641769,6
zero,128,0.5,0.10169796521464984,0.02828637870920929,6,0.43167609473069507,0.08685419639375945,6,0.49504899978637695,0.03923138408388688,6
