slide,corruption_type,radius,mask_ratio,seed_idx,PCC,MSE,MAE
TENX111,none,0,0.0,-1,0.3134118914604187,1.5001320838928223,0.8769955039024353
TENX111,zero,0,0.1,0,0.29179853200912476,1.4551821947097778,0.8613299131393433
TENX111,zero,0,0.1,1,0.2929409146308899,1.459291696548462,0.8623413443565369
TENX111,zero,0,0.1,2,0.29235947132110596,1.4599900245666504,0.8623663783073425
TENX111,zero,0,0.25,0,0.2640558183193207,1.4011809825897217,0.8419646620750427
TENX111,zero,0,0.25,1,0.2650308609008789,1.4036673307418823,0.8427741527557373
TENX111,zero,0,0.25,2,0.2656458616256714,1.4014816284179688,0.8423803448677063
TENX111,zero,0,0.5,0,0.2278452068567276,1.3363511562347412,0.8181113004684448
TENX111,zero,0,0.5,1,0.22716981172561646,1.3473091125488281,0.8208848237991333
TENX111,zero,0,0.5,2,0.22942599654197693,1.3421574831008911,0.8194403648376465
TENX111,zero,32,0.1,0,0.2953846752643585,1.4577029943466187,0.86356121301651
TENX111,zero,32,0.1,1,0.2877931594848633,1.4585809707641602,0.8635709285736084
TENX111,zero,32,0.1,2,0.2782318592071533,1.5014499425888062,0.8758834004402161
TENX111,zero,32,0.25,0,0.24896499514579773,1.4190655946731567,0.8489685654640198
TENX111,zero,32,0.25,1,0.23875947296619415,1.4460477828979492,0.8552718162536621
TENX111,zero,32,0.25,2,0.24259015917778015,1.455815315246582,0.8603125810623169
TENX111,zero,32,0.5,0,0.20109988749027252,1.412150263786316,0.842630922794342
TENX111,zero,32,0.5,1,0.19419997930526733,1.400608777999878,0.8417381048202515
TENX111,zero,32,0.5,2,0.20191586017608643,1.3938555717468262,0.8384974598884583
TENX111,zero,64,0.1,0,0.2783288359642029,1.474660038948059,0.8673835396766663
TENX111,zero,64,0.1,1,0.2899191975593567,1.4550403356552124,0.8622885942459106
TENX111,zero,64,0.1,2,0.29065972566604614,1.4947453737258911,0.8750726580619812
TENX111,zero,64,0.25,0,0.258841335773468,1.4229661226272583,0.8514582514762878
TENX111,zero,64,0.25,1,0.2536608576774597,1.4315277338027954,0.8516613841056824
TENX111,zero,64,0.25,2,0.2532912492752075,1.4701305627822876,0.8640181422233582
TENX111,zero,64,0.5,0,0.1933935135602951,1.4030771255493164,0.8382323980331421
TENX111,zero,64,0.5,1,0.19343295693397522,1.4219541549682617,0.8465674519538879
TENX111,zero,64,0.5,2,0.1966628134250641,1.4190049171447754,0.8458489775657654
TENX111,zero,96,0.1,0,0.27828267216682434,1.4807463884353638,0.8701507449150085
TENX111,zero,96,0.1,1,0.2878432273864746,1.4849134683609009,0.8720946907997131
TENX111,zero,96,0.1,2,0.27694255113601685,1.4866445064544678,0.870228111743927
TENX111,zero,96,0.25,0,0.24721042811870575,1.4425671100616455,0.8572633862495422
TENX111,zero,96,0.25,1,0.24968832731246948,1.4448997974395752,0.8558056354522705
TENX111,zero,96,0.25,2,0.2539561986923218,1.3903292417526245,0.8404698371887207
TENX111,zero,96,0.5,0,0.1860060691833496,1.4424774646759033,0.8555529117584229
TENX111,zero,96,0.5,1,0.20495100319385529,1.3791757822036743,0.8367221355438232
TENX111,zero,96,0.5,2,0.19116686284542084,1.4316632747650146,0.8500943779945374
TENX111,zero,128,0.1,0,0.27695587277412415,1.4871976375579834,0.8694755434989929
TENX111,zero,128,0.1,1,0.28273192048072815,1.4668413400650024,0.863012433052063
TENX111,zero,128,0.1,2,0.28836268186569214,1.4383254051208496,0.8583502769470215
TENX111,zero,128,0.25,0,0.23877225816249847,1.444342851638794,0.8551285862922668
TENX111,zero,128,0.25,1,0.24380263686180115,1.4601434469223022,0.8575580716133118
TENX111,zero,128,0.25,2,0.2578796446323395,1.4236897230148315,0.8534592390060425
TENX111,zero,128,0.5,0,0.1885337084531784,1.4562056064605713,0.8566205501556396
TENX111,zero,128,0.5,1,0.19648057222366333,1.4156635999679565,0.8416473269462585
TENX111,zero,128,0.5,2,0.19676236808300018,1.3952369689941406,0.8356984853744507
