corruption_type,radius,mask_ratio,PCC_mean,PCC_std,PCC_count,MSE_mean,MSE_std,MSE_count,MAE_mean,MAE_std,MAE_count
none,0,0.0,0.08579538017511368,,1,0.563782811164856,,1,0.5541942119598389,,1
zero,0,0.1,0.07836600641409557,0.00535153341099186,3,0.5627132852872213,0.0015378042724333563,3,0.5523912906646729,0.0006823715687153616,3
zero,0,0.25,0.0708148976167043,0.005988999396157537,3,0.5592104395230612,0.0006580578843253046,3,0.5475132862726847,0.0007081530101030693,3
zero,0,0.5,0.05109218880534172,0.006975359025851004,3,0.5619474848111471,0.001272434507040634,3,0.5388210813204447,0.0008648836888284013,3
zero,32,0.1,0.07427594314018886,0.008739085776011388,3,0.5678367217381796,0.0030934643161172875,3,0.5520357688268026,0.0013506292643068662,3
zero,32,0.25,0.07198561976353328,0.013371897486270778,3,0.5706742207209269,0.0023183397876913943,3,0.5468023220698038,0.0014485447493113122,3
zero,32,0.5,0.030201004197200138,0.021426954805054698,3,0.5932634274164835,0.0066590018167870255,3,0.5429650743802389,0.002169912994017258,3
zero,64,0.1,0.05541755134860674,0.01300669886441591,3,0.5726383129755656,0.005965337805596649,3,0.5531243483225504,0.0026717576680171623,3
zero,64,0.25,0.04984250540534655,0.015489270258282017,3,0.5803068280220032,0.008531232464176756,3,0.5490912993748983,0.004072613272469089,3
zero,64,0.5,0.034106879184643425,0.010198168460446562,3,0.5961974263191223,0.004127393723126827,3,0.5423869887987772,0.001324484858729354,3
zero,96,0.1,0.06509167949358623,0.028234749817327716,3,0.5713332096735636,0.008476607588435962,3,0.5523771444956461,0.00260305620874051,3
zero,96,0.25,0.051160903026660286,0.011416938619023423,3,0.5760540167490641,0.007701039418145974,3,0.54658309618632,0.0027889346867628743,3
zero,96,0.5,0.04719832849999269,0.019551956500782113,3,0.5938905278841654,0.01038679075611225,3,0.5405300259590149,0.0026506771043274978,3
zero,128,0.1,0.08017485216259956,0.01731925019113089,3,0.5689859588940939,0.0033687951866304246,3,0.5510186751683553,0.0015573451060823804,3
zero,128,0.25,0.04169947529832522,0.006524020619161741,3,0.5831996401151022,0.0006127647884391921,3,0.549953043460846,0.0015666697452363873,3
zero,128,0.5,0.0711159606774648,0.00735945519514057,3,0.5886650085449219,0.002297761334363696,3,0.5384061733881632,0.0016065371677450805,3
