corruption_type,radius,mask_ratio,PCC_mean,PCC_std,PCC_count,MSE_mean,MSE_std,MSE_count,MAE_mean,MAE_std,MAE_count
none,0,0.0,0.5980284810066223,,1,1.7424241304397583,,1,0.9654688239097595,,1
zero,0,0.1,0.5500291585922241,0.0022508304920320615,3,1.882846713066101,0.0011087551435332707,3,1.000343124071757,0.0008856336389038965,3
zero,0,0.25,0.4922051727771759,0.003294067105509984,3,2.099830468495687,0.005992668748911079,3,1.054426670074463,0.0015645625966040702,3
zero,0,0.5,0.3991337716579437,0.004198797099274152,3,2.5556225776672363,0.01806110314863915,3,1.165892203648885,0.005280066912584107,3
zero,32,0.1,0.5313457250595093,0.004346216288250262,3,1.9447071154912312,0.03319334696775964,3,1.0140369733174641,0.004409137530575564,3
zero,32,0.25,0.4562819302082062,0.011372676436651633,3,2.231501579284668,0.07354614122903184,3,1.0841717720031738,0.013211779012600431,3
zero,32,0.5,0.3417275051275889,0.006513896394050037,3,2.73370353380839,0.02087983789616561,3,1.2044593890508015,0.0035764486040704728,3
zero,64,0.1,0.5188602407773336,0.006844404898134209,3,1.9866219361623128,0.03199636425612224,3,1.0239359935124714,0.005916251186669361,3
zero,64,0.25,0.4503970742225647,0.007619676238166581,3,2.2509686946868896,0.04553817806635462,3,1.0871663490931194,0.008234625742085597,3
zero,64,0.5,0.34228476881980896,0.0033503195124453644,3,2.782912095387777,0.03249256854447068,3,1.212051232655843,0.007692999399269933,3
zero,96,0.1,0.5187505483627319,0.006868664755964249,3,1.9676374991734822,0.034047661894167386,3,1.0206406911214192,0.007151526025418083,3
zero,96,0.25,0.449728121360143,0.009846825775505424,3,2.2824427286783853,0.015380852281671192,3,1.0927042961120605,0.002134926015979324,3
zero,96,0.5,0.3530992567539215,0.008597032157175307,3,2.7678186893463135,0.07447015095382825,3,1.212788740793864,0.012121552476079718,3
zero,128,0.1,0.5161727468172709,0.0034044001298713837,3,2.0092393159866333,0.02349760749257674,3,1.0281376838684082,0.0028425690536379843,3
zero,128,0.25,0.44296400745709735,0.011395865234969209,3,2.261877457300822,0.09467116499512983,3,1.0898470481236775,0.018938157577157513,3
zero,128,0.5,0.3301661014556885,0.012722304701828667,3,2.8175435066223145,0.13844003843390812,3,1.2217137813568115,0.02383925212329251,3
