slide,corruption_type,radius,mask_ratio,seed_idx,PCC,MSE,MAE
TENX118,none,0,0.0,-1,0.5802053213119507,1.4518980979919434,0.9064050316810608
TENX118,zero,0,0.1,0,0.47917649149894714,1.664504051208496,0.9579524397850037
TENX118,zero,0,0.1,1,0.4772110879421234,1.6688770055770874,0.9588944911956787
TENX118,zero,0,0.1,2,0.4825941324234009,1.656622290611267,0.9560742974281311
TENX118,zero,0,0.25,0,0.38779833912849426,1.9840422868728638,1.034224271774292
TENX118,zero,0,0.25,1,0.39422768354415894,1.976487636566162,1.032955288887024
TENX118,zero,0,0.25,2,0.39373183250427246,1.979152798652649,1.0337870121002197
TENX118,zero,0,0.5,0,0.29100796580314636,2.548474073410034,1.1656290292739868
TENX118,zero,0,0.5,1,0.2848552465438843,2.562852382659912,1.1678932905197144
TENX118,zero,0,0.5,2,0.29372158646583557,2.544694423675537,1.163191795349121
TENX118,zero,32,0.1,0,0.47217071056365967,1.719078540802002,0.9668649435043335
TENX118,zero,32,0.1,1,0.4807455539703369,1.6893696784973145,0.9604125618934631
TENX118,zero,32,0.1,2,0.470988392829895,1.720823884010315,0.9687190651893616
TENX118,zero,32,0.25,0,0.3538239002227783,2.1235134601593018,1.061134934425354
TENX118,zero,32,0.25,1,0.3527810573577881,2.1085758209228516,1.054295301437378
TENX118,zero,32,0.25,2,0.3744681477546692,2.0670247077941895,1.0493345260620117
TENX118,zero,32,0.5,0,0.2247338891029358,2.857414484024048,1.2252295017242432
TENX118,zero,32,0.5,1,0.27631404995918274,2.6999380588531494,1.1926863193511963
TENX118,zero,32,0.5,2,0.27901721000671387,2.7426347732543945,1.1981152296066284
TENX118,zero,64,0.1,0,0.5071157813072205,1.6310434341430664,0.9444222450256348
TENX118,zero,64,0.1,1,0.451241672039032,1.760969638824463,0.9756617546081543
TENX118,zero,64,0.1,2,0.41722747683525085,1.8308758735656738,0.9926810264587402
TENX118,zero,64,0.25,0,0.3355412185192108,2.171607732772827,1.0709030628204346
TENX118,zero,64,0.25,1,0.35333144664764404,2.1220335960388184,1.056632161140442
TENX118,zero,64,0.25,2,0.3760315179824829,2.0862998962402344,1.0514721870422363
TENX118,zero,64,0.5,0,0.27870795130729675,2.637998342514038,1.1753696203231812
TENX118,zero,64,0.5,1,0.22780397534370422,2.858064889907837,1.2214686870574951
TENX118,zero,64,0.5,2,0.2546185851097107,2.725860595703125,1.1979445219039917
TENX118,zero,96,0.1,0,0.4675617516040802,1.7268950939178467,0.9679870009422302
TENX118,zero,96,0.1,1,0.5016080737113953,1.6334704160690308,0.9481564164161682
TENX118,zero,96,0.1,2,0.49230653047561646,1.650545597076416,0.9539489150047302
TENX118,zero,96,0.25,0,0.335218608379364,2.2256364822387695,1.0812220573425293
TENX118,zero,96,0.25,1,0.35434406995773315,2.136591672897339,1.0647279024124146
TENX118,zero,96,0.25,2,0.3591041564941406,2.1515815258026123,1.0620710849761963
TENX118,zero,96,0.5,0,0.2571512460708618,2.764819622039795,1.1987603902816772
TENX118,zero,96,0.5,1,0.2678888440132141,2.6822710037231445,1.1847162246704102
TENX118,zero,96,0.5,2,0.24539081752300262,2.771773099899292,1.2068628072738647
TENX118,zero,128,0.1,0,0.42737025022506714,1.8189524412155151,0.9918259978294373
TENX118,zero,128,0.1,1,0.4275718629360199,1.8384191989898682,0.9930789470672607
TENX118,zero,128,0.1,2,0.44523611664772034,1.7404903173446655,0.9717547297477722
TENX118,zero,128,0.25,0,0.2783103287220001,2.3418943881988525,1.107977032661438
TENX118,zero,128,0.25,1,0.3217073678970337,2.266531229019165,1.0909255743026733
TENX118,zero,128,0.25,2,0.30924302339553833,2.257484197616577,1.090476393699646
TENX118,zero,128,0.5,0,0.23491600155830383,2.903998851776123,1.23538076877594
TENX118,zero,128,0.5,1,0.2211945503950119,2.941237211227417,1.2405741214752197
TENX118,zero,128,0.5,2,0.2771478593349457,2.72367787361145,1.1920512914657593
