corruption_type,radius,mask_ratio,PCC_mean,PCC_std,PCC_count,MSE_mean,MSE_std,MSE_count,MAE_mean,MAE_std,MAE_count
none,0,0.0,0.2570545971393585,,1,0.3234442472457886,,1,0.32723987102508545,,1
zero,0,0.1,0.2327855279048284,0.002420446685572212,3,0.32558297117551166,0.000488802775272586,3,0.32451005776723224,0.00036485257427361427,3
zero,0,0.25,0.1956691344579061,0.005497158001060598,3,0.33420705795288086,0.0010052371676149547,3,0.3243606189886729,0.0005298954196616726,3
zero,0,0.5,0.136931245525678,0.003354213275720126,3,0.35484007000923157,0.00018526111946396413,3,0.3322028120358785,8.59280099750839e-05,3
zero,32,0.1,0.22306287785371146,0.0035801845996550133,3,0.3316033184528351,0.00017741089724335548,3,0.32933634519577026,0.0009901950365683284,3
zero,32,0.25,0.19899244606494904,0.006505847105784558,3,0.3392387628555298,0.001678335319669358,3,0.332203487555186,0.0014961756027594348,3
zero,32,0.5,0.14613262812296549,0.011563938723380266,3,0.35927929480870563,0.0010894896762269997,3,0.3416353464126587,0.001891373401582733,3
zero,64,0.1,0.23071032265822092,0.011141217240976203,3,0.33051271239916485,0.0013578471235050898,3,0.33052948117256165,0.0008387628496685828,3
zero,64,0.25,0.19860232869784036,0.007007307925406977,3,0.3416732847690582,0.004015647440176967,3,0.3336864809195201,0.002278473167710897,3
zero,64,0.5,0.16090726852416992,0.009451446578583675,3,0.3572014669577281,0.003441934795603882,3,0.341133177280426,0.0008307549299894944,3
zero,96,0.1,0.22621524830659231,0.005593657470852243,3,0.3316958049933116,0.00241500746512773,3,0.3300997018814087,0.0007422029190405935,3
zero,96,0.25,0.18755988279978433,0.030686979920054678,3,0.34090228875478107,0.006966584129818803,3,0.3342527151107788,0.0032213093625033315,3
zero,96,0.5,0.14355695247650146,0.008892453573364007,3,0.35976288715998334,0.002199010922649954,3,0.34181805451711017,0.0033199666887482287,3
zero,128,0.1,0.21537049114704132,0.010050219074105105,3,0.33345959583918255,0.0012811972579412365,3,0.32939594984054565,0.0030012984434563614,3
zero,128,0.25,0.2059714694817861,0.009586155653442535,3,0.3408937056859334,0.0024820681366299877,3,0.3346077501773834,0.003939656632296039,3
zero,128,0.5,0.15608900785446167,0.010708160679831786,3,0.3593592445055644,0.002727938625954378,3,0.34548258781433105,0.0004207467567092218,3
