slide,corruption_type,radius,mask_ratio,seed_idx,PCC,MSE,MAE
NCBI683,none,0,0.0,-1,0.13367760181427002,0.7530359625816345,0.6087204813957214
NCBI683,zero,0,0.1,0,0.12680764496326447,0.7384994626045227,0.5991533994674683
NCBI683,zero,0,0.1,1,0.12775027751922607,0.7330555319786072,0.5968337059020996
NCBI683,zero,0,0.1,2,0.12803974747657776,0.7340443730354309,0.5971094369888306
NCBI683,zero,0,0.25,0,0.11440667510032654,0.6926718950271606,0.5728247165679932
NCBI683,zero,0,0.25,1,0.11370843648910522,0.6919568777084351,0.5714259147644043
NCBI683,zero,0,0.25,2,0.11555613577365875,0.6918970346450806,0.5717179179191589
NCBI683,zero,0,0.5,0,0.09683862328529358,0.6024519205093384,0.514449954032898
NCBI683,zero,0,0.5,1,0.08986862003803253,0.6035102605819702,0.515093982219696
NCBI683,zero,0,0.5,2,0.0932985320687294,0.6028582453727722,0.5153650641441345
NCBI683,zero,32,0.1,0,0.12133237719535828,0.7127389311790466,0.5822057127952576
NCBI683,zero,32,0.1,1,0.12157488614320755,0.7140713334083557,0.5839618444442749
NCBI683,zero,32,0.1,2,0.10856646299362183,0.7223528027534485,0.5880866050720215
NCBI683,zero,32,0.25,0,0.11189264059066772,0.664623498916626,0.5518558621406555
NCBI683,zero,32,0.25,1,0.10876305401325226,0.6939373016357422,0.566861629486084
NCBI683,zero,32,0.25,2,0.09695179760456085,0.6646052598953247,0.5505956411361694
NCBI683,zero,32,0.5,0,0.06511574983596802,0.5913293361663818,0.49929890036582947
NCBI683,zero,32,0.5,1,0.08501431345939636,0.6049737930297852,0.5067554712295532
NCBI683,zero,32,0.5,2,0.09199418127536774,0.6188418865203857,0.5126181840896606
NCBI683,zero,64,0.1,0,0.1191183403134346,0.7295379042625427,0.5896819829940796
NCBI683,zero,64,0.1,1,0.11845710873603821,0.73440021276474,0.5943458080291748
NCBI683,zero,64,0.1,2,0.12936997413635254,0.729224681854248,0.5903688669204712
NCBI683,zero,64,0.25,0,0.08117996156215668,0.665154218673706,0.5518038868904114
NCBI683,zero,64,0.25,1,0.11112242937088013,0.6764187812805176,0.5584381818771362
NCBI683,zero,64,0.25,2,0.08876973390579224,0.6911810040473938,0.5632783770561218
NCBI683,zero,64,0.5,0,0.07725296169519424,0.6271201372146606,0.5177648663520813
NCBI683,zero,64,0.5,1,0.08143578469753265,0.6330878138542175,0.522081732749939
NCBI683,zero,64,0.5,2,0.06483840197324753,0.600601315498352,0.5025959014892578
NCBI683,zero,96,0.1,0,0.13329271972179413,0.6866904497146606,0.5684984922409058
NCBI683,zero,96,0.1,1,0.10439085215330124,0.7284286022186279,0.5888015031814575
NCBI683,zero,96,0.1,2,0.11169175058603287,0.7200872898101807,0.5867191553115845
NCBI683,zero,96,0.25,0,0.07405498623847961,0.7055771350860596,0.5685155391693115
NCBI683,zero,96,0.25,1,0.09948544204235077,0.6941715478897095,0.5694634914398193
NCBI683,zero,96,0.25,2,0.10225261002779007,0.6458561420440674,0.5409649610519409
NCBI683,zero,96,0.5,0,0.0691908523440361,0.5874055027961731,0.49368637800216675
NCBI683,zero,96,0.5,1,0.08614642173051834,0.6341378688812256,0.5211301445960999
NCBI683,zero,96,0.5,2,0.05126042664051056,0.6334865689277649,0.5165866613388062
NCBI683,zero,128,0.1,0,0.12007669359445572,0.7011979222297668,0.5736865997314453
NCBI683,zero,128,0.1,1,0.11297422647476196,0.7378724217414856,0.5954095125198364
NCBI683,zero,128,0.1,2,0.07661578804254532,0.7146453261375427,0.581070601940155
NCBI683,zero,128,0.25,0,0.09064323455095291,0.6254796385765076,0.5265194177627563
NCBI683,zero,128,0.25,1,0.1031547263264656,0.710711658000946,0.5731449723243713
NCBI683,zero,128,0.25,2,0.10231678932905197,0.6985924243927002,0.5647009611129761
NCBI683,zero,128,0.5,0,0.08444224298000336,0.6468074321746826,0.5288361310958862
NCBI683,zero,128,0.5,1,0.08129243552684784,0.6334168314933777,0.5202416181564331
NCBI683,zero,128,0.5,2,0.12156159430742264,0.5930683016777039,0.49766314029693604
