corruption_type,radius,mask_ratio,PCC_mean,PCC_std,PCC_count,MSE_mean,MSE_std,MSE_count,MAE_mean,MAE_std,MAE_count
none,0,0.0,0.5875676870346069,,1,1.001627802848816,,1,0.7393028140068054,,1
zero,0,0.1,0.570001224676768,0.00300925114873746,3,1.0253376166025798,0.001393938044661418,3,0.7466153303782145,0.001149896626266257,3
zero,0,0.25,0.5514355103174845,0.005582583000324003,3,1.0588343540827434,0.0008679649274588259,3,0.7580831050872803,0.0005866220370788619,3
zero,0,0.5,0.4981832007567088,0.004920096588395299,3,1.1598423719406128,0.0010089914830203812,3,0.7988161444664001,0.0008547673427828467,3
zero,32,0.1,0.5484518011411031,0.0076796593334606976,3,1.0693164269129436,0.005378500072076379,3,0.7656537294387817,0.002005654797082173,3
zero,32,0.25,0.5185224413871765,0.005961061589611207,3,1.1257884899775188,0.016360971818429364,3,0.7910042405128479,0.007632830929967603,3
zero,32,0.5,0.4397400915622711,0.00814185561142026,3,1.2682957251866658,0.006626605405670418,3,0.8454073866208395,0.0017973244857572275,3
zero,64,0.1,0.5591315031051636,0.007081578518622493,3,1.0485624472300212,0.004733439803631612,3,0.757646381855011,0.003004617755969915,3
zero,64,0.25,0.5075039764245352,0.0173755554122112,3,1.153608004252116,0.007514300298814233,3,0.799688994884491,0.0016574692205292407,3
zero,64,0.5,0.4129006763299306,0.001972887374111929,3,1.3118040959040325,0.01187847702751413,3,0.8637349605560303,0.00736520926836335,3
zero,96,0.1,0.5532160997390747,0.011586024991954495,3,1.0702712933222454,0.012310660485002789,3,0.766731858253479,0.007543915666809111,3
zero,96,0.25,0.5146023233731588,0.012009917171210851,3,1.1422710418701172,0.013914895378070814,3,0.7948978145917257,0.007247075302772894,3
zero,96,0.5,0.42379722992579144,0.016362220618795855,3,1.2834833860397339,0.008169393446863777,3,0.8506719271341959,0.002990073382861515,3
zero,128,0.1,0.5591268936793009,0.004563102609814934,3,1.0605917771657307,0.00759917307084327,3,0.7623568177223206,0.004741390164978447,3
zero,128,0.25,0.5152561267217001,0.0125071075826918,3,1.164502461751302,0.017839519181670874,3,0.8044507503509521,0.009113260733959896,3
zero,128,0.5,0.3987418015797933,0.010123208574201615,3,1.312976559003194,0.051571378959800906,3,0.8620600501696268,0.02498280654196124,3
