slide,corruption_type,radius,mask_ratio,seed_idx,PCC,MSE,MAE
TENX117,none,0,0.0,-1,0.6906006336212158,1.4512238502502441,0.927492618560791
TENX117,zero,0,0.1,0,0.6450576782226562,1.5404738187789917,0.9440048933029175
TENX117,zero,0,0.1,1,0.6515301465988159,1.5259689092636108,0.9403934478759766
TENX117,zero,0,0.1,2,0.6429272294044495,1.5425214767456055,0.943857729434967
TENX117,zero,0,0.25,0,0.601711630821228,1.6178046464920044,0.9450007081031799
TENX117,zero,0,0.25,1,0.5735222101211548,1.6966522932052612,0.9676363468170166
TENX117,zero,0,0.25,2,0.5750367045402527,1.693634033203125,0.9652328491210938
TENX117,zero,0,0.5,0,0.5019901394844055,1.8902041912078857,0.9733386635780334
TENX117,zero,0,0.5,1,0.4811818599700928,1.9296690225601196,0.974763810634613
TENX117,zero,0,0.5,2,0.4748934507369995,1.9444711208343506,0.9807249307632446
TENX117,zero,32,0.1,0,0.6552587151527405,1.461815357208252,0.9075829982757568
TENX117,zero,32,0.1,1,0.6037501096725464,1.598900556564331,0.9461398124694824
TENX117,zero,32,0.1,2,0.5716437697410583,1.6631159782409668,0.9559464454650879
TENX117,zero,32,0.25,0,0.5356391668319702,1.7418699264526367,0.9507152438163757
TENX117,zero,32,0.25,1,0.5500425100326538,1.7463250160217285,0.9531849026679993
TENX117,zero,32,0.25,2,0.5707032084465027,1.7003874778747559,0.9486239552497864
TENX117,zero,32,0.5,0,0.370718777179718,2.352447986602783,1.0559017658233643
TENX117,zero,32,0.5,1,0.41332435607910156,2.2266225814819336,1.0302799940109253
TENX117,zero,32,0.5,2,0.47730550169944763,2.0511271953582764,0.9856259822845459
TENX117,zero,64,0.1,0,0.5035464763641357,1.7903227806091309,0.9762856960296631
TENX117,zero,64,0.1,1,0.5803912878036499,1.6589162349700928,0.9638047218322754
TENX117,zero,64,0.1,2,0.6371885538101196,1.5258749723434448,0.929315984249115
TENX117,zero,64,0.25,0,0.3116709887981415,2.349677801132202,1.1070221662521362
TENX117,zero,64,0.25,1,0.42681023478507996,2.124359607696533,1.0524966716766357
TENX117,zero,64,0.25,2,0.5491907596588135,1.6643162965774536,0.9199418425559998
TENX117,zero,64,0.5,0,0.21376176178455353,2.6714701652526855,1.114380121231079
TENX117,zero,64,0.5,1,0.26357632875442505,2.6604743003845215,1.1284486055374146
TENX117,zero,64,0.5,2,0.2751360535621643,2.552706480026245,1.0826555490493774
TENX117,zero,96,0.1,0,0.6291787028312683,1.533244252204895,0.9232925176620483
TENX117,zero,96,0.1,1,0.4925519824028015,1.870086908340454,1.001556158065796
TENX117,zero,96,0.1,2,0.4560343027114868,1.9546887874603271,1.0227117538452148
TENX117,zero,96,0.25,0,0.46658259630203247,2.044095993041992,1.0354833602905273
TENX117,zero,96,0.25,1,0.5273851156234741,1.805295467376709,0.9642549157142639
TENX117,zero,96,0.25,2,0.48760947585105896,1.8824750185012817,0.9688515663146973
TENX117,zero,96,0.5,0,0.2367919683456421,2.699578046798706,1.1240144968032837
TENX117,zero,96,0.5,1,0.46359893679618835,2.0512733459472656,0.9678818583488464
TENX117,zero,96,0.5,2,0.3576779067516327,2.524007797241211,1.1070775985717773
TENX117,zero,128,0.1,0,0.6084268689155579,1.5981082916259766,0.9448527097702026
TENX117,zero,128,0.1,1,0.550773561000824,1.7008633613586426,0.9684436321258545
TENX117,zero,128,0.1,2,0.6890315413475037,1.355797290802002,0.8779538869857788
TENX117,zero,128,0.25,0,0.6482181549072266,1.3621318340301514,0.8310538530349731
TENX117,zero,128,0.25,1,0.43672889471054077,2.033026695251465,0.9943885803222656
TENX117,zero,128,0.25,2,0.535513699054718,1.7792285680770874,0.9444529414176941
TENX117,zero,128,0.5,0,0.29773786664009094,2.4512789249420166,1.0504647493362427
TENX117,zero,128,0.5,1,0.33601734042167664,2.5002615451812744,1.069803237915039
TENX117,zero,128,0.5,2,0.4505220651626587,2.1475956439971924,0.9882615804672241
