corruption_type,radius,mask_ratio,PCC_mean,PCC_std,PCC_count,MSE_mean,MSE_std,MSE_count,MAE_mean,MAE_std,MAE_count
none,0,0.0,0.6302054524421692,,1,1.414088487625122,,1,0.8536375761032104,,1
zero,0,0.1,0.6047254999478658,0.0016692479826320135,3,1.5221522251764934,0.007586233257046063,3,0.879937211672465,0.002103660167338174,3
zero,0,0.25,0.5740638176600138,0.0023679761192272786,3,1.6659390528996785,0.009525709452812786,3,0.9121403892834982,0.000563085525055279,3
zero,0,0.5,0.49903632203737897,0.020003119523054856,3,2.0144724448521933,0.05232985559105467,3,0.9887428085009257,0.01068831198546002,3
zero,32,0.1,0.5962045987447103,0.0029644566751145037,3,1.5646879275639851,0.016130896399549826,3,0.8863443930943807,0.0028625043783332546,3
zero,32,0.25,0.5353594223658243,0.014251106667356545,3,1.8407094478607178,0.034377915325811886,3,0.9413867592811584,0.0057156129941748155,3
zero,32,0.5,0.45078696807225543,0.04412545199537338,3,2.193838437398275,0.15169556409219004,3,1.0148353377978008,0.022937429098243128,3
zero,64,0.1,0.5886821746826172,0.02779695036528372,3,1.6126855611801147,0.08507397727634178,3,0.8919656276702881,0.01697102703796984,3
zero,64,0.25,0.5570318301518759,0.014993162066096678,3,1.791462739308675,0.06742938780090056,3,0.9325824975967407,0.008933374308739599,3
zero,64,0.5,0.457612007856369,0.02709004467083329,3,2.19787867863973,0.12947066940483712,3,1.0180917978286743,0.01642820141229707,3
zero,96,0.1,0.6033258239428202,0.02592239342542834,3,1.5561725695927937,0.05299199594443269,3,0.8836370507876078,0.015936617922238293,3
zero,96,0.25,0.5318609277407328,0.01568311442267718,3,1.8687160809834797,0.035104669136424065,3,0.9474782148996989,0.0030011579528567683,3
zero,96,0.5,0.42809104919433594,0.05627173838840318,3,2.296139717102051,0.11880815357281269,3,1.031617283821106,0.02116237790951509,3
zero,128,0.1,0.5909622112909952,0.019006513954040825,3,1.6079707543055217,0.05486381646995263,3,0.8969428539276123,0.010341882638185463,3
zero,128,0.25,0.5063427189985911,0.02706754568224445,3,1.8711662292480469,0.08466308430786058,3,0.9543887774149576,0.017000408884523106,3
zero,128,0.5,0.4675055344899495,0.0368548953928658,3,2.2835045655568442,0.07617274130354683,3,1.0269768635431926,0.015838874386383088,3
